No errors
No warnings
684 ms
data source=metars
4755 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KSTK 052150Z AUTO 04004KT 10SM CLR 14/M06 A2992 RMK AO2,KSTK,2019-01-05T21:50:00Z,40.62,-103.27,14.0,-6.0,40,4,,10.0,29.920275,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,1231.0
KOMN 052150Z 27010KT 10SM CLR 17/09 A3002,KOMN,2019-01-05T21:50:00Z,29.3,-81.12,17.0,9.0,270,10,,10.0,30.02067,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,9.0
KNQA 052150Z 22007KT 10SM CLR 13/04 A3010,KNQA,2019-01-05T21:50:00Z,35.35,-89.87,13.0,4.0,220,7,,10.0,30.100393,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,86.0
KHXD 052150Z 28009KT 10SM CLR 16/07 A2997,KHXD,2019-01-05T21:50:00Z,32.22,-80.7,16.0,7.0,280,9,,10.0,29.970472,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,6.0
TJBQ 052150Z 11012G18KT 10SM SCT044 SCT050 26/21 A3005,TJBQ,2019-01-05T21:50:00Z,18.5,-67.13,26.0,21.0,110,12,18,10.0,30.050198,,,,,,,,,,,SCT,4400,SCT,5000,,,,,VFR,,,,,,,,,,,,METAR,72.0
KWHP 052150Z 11008KT 10SM BKN026 BKN031 OVC039 12/08 A2997,KWHP,2019-01-05T21:50:00Z,34.25,-118.42,12.0,8.0,110,8,,10.0,29.970472,,,,,,,,,,,BKN,2600,BKN,3100,OVC,3900,,,MVFR,,,,,,,,,,,,METAR,306.0
PTRO 052150Z 05009G13KT 15SM SCT016TCU BKN120 BKN300 26/24 A2991 RMK TCU N-E-S ,PTRO,2019-01-05T21:50:00Z,7.37,134.55,26.0,24.0,50,9,13,15.0,29.911417,,,,,,,,,,,SCT,1600,BKN,12000,BKN,30000,,,VFR,,,,,,,,,,,,METAR,54.0
KVQQ 052150Z 30010KT 10SM CLR 16/08 A3004,KVQQ,2019-01-05T21:50:00Z,30.22,-81.88,16.0,8.0,300,10,,10.0,30.041338,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,25.0
KJNX 052150Z AUTO 27005KT 10SM CLR 16/03 A2981 RMK AO2,KJNX,2019-01-05T21:50:00Z,35.53,-78.38,16.0,3.0,270,5,,10.0,29.811024,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,50.0
KIPJ 052150Z AUTO 27003KT 10SM CLR 15/01 A2992 RMK AO2 T01510009,KIPJ,2019-01-05T21:50:00Z,35.48,-81.17,15.1,0.9,270,3,,10.0,29.920275,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,267.0
LATI 052150Z 21002KT CAVOK M01/M07 Q1015 NOSIG,LATI,2019-01-05T21:50:00Z,41.42,19.72,-1.0,-7.0,210,2,,6.21,29.970472,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,90.0
