No errors
No warnings
589 ms
data source=metars
4601 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KESN 140317Z AUTO 36009KT 10SM SCT027 OVC037 M01/M07 A3027 RMK AO2 T10071070,KESN,2019-01-14T03:17:00Z,38.8,-76.07,-0.7,-7.0,360,9,,10.0,30.268702,,,TRUE,TRUE,,,,,,,SCT,2700,OVC,3700,,,,,VFR,,,,,,,,,,,,SPECI,22.0
KBAX 140316Z AUTO 00000KT 10SM CLR M09/M10 A3036 RMK AO2 T10891103,KBAX,2019-01-14T03:16:00Z,43.78,-82.98,-8.9,-10.3,0,0,,10.0,30.360237,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,234.0
KANE 140316Z AUTO 22007KT 10SM OVC026 02/M03 A3028 RMK AO2,KANE,2019-01-14T03:16:00Z,45.15,-93.22,2.0,-3.0,220,7,,10.0,30.280512,,,TRUE,TRUE,,,,,,,OVC,2600,,,,,,,MVFR,,,,,,,,,,,,METAR,278.0
KY63 140316Z AUTO 23008KT 10SM OVC009 M02/M03 A3023 RMK AO2 T10211027,KY63,2019-01-14T03:16:00Z,45.98,-96.0,-2.1,-2.7,230,8,,10.0,30.230314,,,TRUE,TRUE,,,,,,,OVC,900,,,,,,,IFR,,,,,,,,,,,,METAR,367.0
KRZT 140316Z AUTO 36003KT 10SM OVC028 M01/M03 A3026 RMK AO2,KRZT,2019-01-14T03:16:00Z,39.43,-83.02,-1.0,-3.0,360,3,,10.0,30.259842,,,TRUE,TRUE,,,,,,,OVC,2800,,,,,,,MVFR,,,,,,,,,,,,METAR,221.0
KROS 140316Z AUTO 22008KT 10SM OVC015 00/M03 A3028 RMK AO2 T00001029,KROS,2019-01-14T03:16:00Z,45.7,-92.95,0.0,-2.9,220,8,,10.0,30.280512,,,TRUE,TRUE,,,,,,,OVC,1500,,,,,,,MVFR,,,,,,,,,,,,METAR,281.0
KRNP 140316Z AUTO 00000KT 10SM CLR M08/M09 A3037 RMK AO2 T10791095,KRNP,2019-01-14T03:16:00Z,43.0,-84.13,-7.9,-9.5,0,0,,10.0,30.369095,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,224.0
KRMY 140316Z AUTO 00000KT 10SM CLR M06/M09 A3034 RMK AO2 T10591088,KRMY,2019-01-14T03:16:00Z,42.23,-84.95,-5.9,-8.8,0,0,,10.0,30.339567,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,287.0
KPOV 140316Z AUTO 02005KT 10SM CLR M06/M08 A3026 RMK AO2 T10581085 PWINO,KPOV,2019-01-14T03:16:00Z,41.22,-81.25,-5.8,-8.5,20,5,,10.0,30.259842,,,TRUE,TRUE,,,,,TRUE,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,365.0
KPNM 140316Z AUTO 20005KT 10SM OVC016 01/M02 A3027 RMK AO2,KPNM,2019-01-14T03:16:00Z,45.57,-93.6,1.0,-2.0,200,5,,10.0,30.268702,,,TRUE,TRUE,,,,,,,OVC,1600,,,,,,,MVFR,,,,,,,,,,,,METAR,298.0
KPHN 140316Z AUTO 00000KT 10SM CLR M08/M09 A3037 RMK AO2,KPHN,2019-01-14T03:16:00Z,42.92,-82.52,-8.0,-9.0,0,0,,10.0,30.369095,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,198.0
KLWA 140316Z AUTO 00000KT 10SM CLR M09/M11 A3037 RMK AO2 T10871115,KLWA,2019-01-14T03:16:00Z,42.35,-86.25,-8.7,-11.5,0,0,,10.0,30.369095,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,203.0
KDYT 140316Z AUTO 10SM OVC021 01/M02 A3024 RMK AO2,KDYT,2019-01-14T03:16:00Z,46.72,-92.03,1.0,-2.0,,,,10.0,30.239174,,,TRUE,TRUE,,,,,,,OVC,2100,,,,,,,MVFR,,,,,,,,,,,,METAR,186.0
KDUH 140316Z AUTO 03004KT 10SM CLR M06/M09 A3035 RMK AO2 T10631087,KDUH,2019-01-14T03:16:00Z,41.73,-83.65,-6.3,-8.7,30,4,,10.0,30.351377,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,204.0
KACQ 140316Z AUTO 19008KT 7SM CLR M02/M04 A3033 RMK AO2,KACQ,2019-01-14T03:16:00Z,44.07,-93.55,-2.0,-4.0,190,8,,7.0,30.33071,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,343.0
KACB 140316Z AUTO 00000KT 10SM CLR M14/M15 A3037 RMK AO2 T11371155,KACB,2019-01-14T03:16:00Z,44.98,-85.2,-13.7,-15.5,0,0,,10.0,30.369095,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,190.0
K9MN 140316Z AUTO 19006KT 10SM CLR M02/M05 A3033 RMK AO1 T10251055,K9MN,2019-01-14T03:16:00Z,44.02,-92.48,-2.5,-5.5,190,6,,10.0,30.33071,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,355.0
K4I3 140316Z AUTO 35006KT 10SM CLR M04/M05 A3026 RMK AO2,K4I3,2019-01-14T03:16:00Z,40.33,-82.53,-4.0,-5.0,350,6,,10.0,30.259842,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,363.0
KJYM 140316Z AUTO 00000KT 10SM CLR M09/M12 A3031 RMK AO2 T10891122,KJYM,2019-01-14T03:16:00Z,41.92,-84.58,-8.9,-12.2,0,0,,10.0,30.31004,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,360.0
KFPK 140316Z AUTO 00000KT 10SM CLR M07/M09 A3034 RMK AO2 T10701093,KFPK,2019-01-14T03:16:00Z,42.57,-84.82,-7.0,-9.3,0,0,,10.0,30.339567,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,272.0
